name,category,review.point,price,currency,description.1.2247.
"The Macallan Classic Cut (2017 Edition), 58.4%",Single Malt Scotch,88,89,$,"Peated to 14.8 ppm, this expression from anCnoc’s Peaty Collection falls between Rutter and Cutter in terms of its phenolic level. Immediately smoky on the nose, with oily fudge and milky coffee. Well-balanced in the mouth, with rich flavors of peat, soft fruit, and vanilla, plus a hint of brine and iodine. The finish is lengthy, with peat embers, walnuts, and more iodine."
"That Boutique-y Whisky Company (distilled at Cragganmore) 26 year old, 50.2%",Single Malt Scotch,88,220,$,"Like its Ledaig stablemate, this Tobermory is offered non-chill filtered at cask strength. Finishing occurred in manzanilla sherry casks. Orange marmalade, nutmeg, and developing vanilla on the nose. Full bodied, with a palate of citrus fruit and soft spices, aniseed, and developing tannins. Lingering in the finish, with spicy plain chocolate. Ultimately, the tannins fade and leave a fresh citric note."
"Exclusive Malts (distilled at Macduff) 2006 11 year old, 53.4%",Single Malt Scotch,88,105,$,"The revival of Bladnoch Distillery in southwest Scotland continues, with the launch of 15 and 25 year old expressions to add to the NAS Samsara (reviewed winter 2016). Talia has been finished in new American oak casks. Sweet and floral on the nose, with violets, Jaffa orange, and fragrant fresh oak. Medium to full-bodied, with rich fruit notes, praline, malt, and finally, raisins and prunes. Dark oak in the long, mouth-drying finish."
"Old Pulteney 25 year old, 46%",Single Malt Scotch,88,600,$,"I’m reminded of leafy ferns in spring, sweet melon, green bananas, fresh cream, and a dusting of spice when I nose this blend. A light, green fruit taste of white grape and melon overlaid with runny toffee and banana, before the impression of thick fruit skins, becoming slightly tannic. Light spices and pepper follow with a finish of apple core and rich spice. (760 bottles)"
"That Boutique-y Whisky Company Blended Whisky No.1 35 year old, 46.5%",Blended Scotch Whisky,88,150,$,"When in doubt, the answer to any question is usually ‘more whisky.’ Here, peat smoke takes an upper hand over the sweet aromas of juicy orange and pear. The whisky begins icing-sugar sweet, settles to bubble gum, pear, apple, and malt, showing its impeccably balanced, finely textured character replete with strands of oak spices, gentle smoke, baked pastry, and vanilla custard. You can’t go wrong at this price."
"Berrys’ Islay Reserve, 46%",Blended Malt Scotch Whisky,88,63,$,"Distilled in September 2007 and matured in a first-fill bourbon barrel (#5315), this is a fine example of how good a relatively youthful Speyside malt can be, given the right cask. Soft and fragrant on the nose, with lemongrass, ginger snaps, and light toffee notes. The palate is sweet, with ripe strawberries and spicy fudge. A spicy finish offers cinnamon, milk chocolate, and lingering citrus fruits. (220 bottles)"
"Glenmorangie Cadboll, 43%",Single Malt Scotch,88,115,$,"Distilled in October 1995, this single cask was aged in a refill hogshead (#10206). Primrose, ginger, cedar spice, and malt on the nose, with a hint of salt and background heather; complex. Slightly oily on the palate, with orchard fruits, milk chocolate, a suggestion of brine, and developing cloves. Dries quite rapidly in the finish, with more cloves and light oak tannins. (190 bottles)"
"Glenglassaugh Peated Port Wood Finish, 46%",Single Malt Scotch,88,81,$,"This is the first release in the distillery’s new core range for the U.S. After primary maturation in bourbon barrels, the 10 year old whisky undergoes a sherry cask finish. Orange marmalade, pine nuts, white pepper, and very subtle smokiness on the nose. The palate majors in overripe Jaffa oranges, ginger, and milk chocolate. The milk chocolate darkens in the medium-length finish, with coffee grounds and warming spice."
"Balvenie DoubleWood 12 year old, 43%",Single Malt Scotch,88,55,$,"This expression dates from 2002, when Balvenie first produced a batch of heavily peated malt. Matured in American oak casks, the nose exhibits subtle peat balanced by honey, vanilla, and ripe red apples. On the palate, the soft smoke is well integrated with vanilla, more honey, ginger, and overripe pears. Ashy peat, citrus fruits, cinnamon, and tangy oak in the finish. An elegant peated whisky."
"Glenfiddich 18 year old Small Batch Reserve, 40%",Single Malt Scotch,88,110,$,
"Speyburn 15 year old, 46%",Single Malt Scotch,88,65,$,"Distilled in 1984, just a few months before the distillery closed, this was aged in refill American oak hogsheads. A whiff of early earthiness gives way to pear drops, honey, vanilla, and resin on the nose. Pears, pineapple, caramel, and vanilla on the slightly waxy, spicy palate. Slowly drying in the medium-length finish, with peppery licorice and a hint of char. (3,972 bottles)"
"Port Askaig 8 year old, 45.8%",Single Malt Scotch,88,65,$,
"Old Pulteney Clipper, 46%",Single Malt Scotch,88,55,$,"This unpeated version of Caol Ila was matured in refill American oak hogsheads. The nose is quite reticent, with subtle vanilla and milk chocolate notes. Big, fizzy-sweet fruit notes on the palate, with caramel, rock pools, hot spices, plain chocolate, and very mild wood smoke. Bubble gum and peppery chocolate in the medium-length finish."
"Jura 18 year old, 44%",Single Malt Scotch,88,125,$,
"Big Peat Fèis Ìle 2018, 48%",Blended Malt Scotch Whisky,88,65,$,"This noble Scot consists of a blend of 20 different whiskies and impresses with its nose of hazelnut, dark chocolate, vanilla pod, menthol, peppercorn, and wisps of damp wood smoke. Warm chocolate fudge, mellow spices, dark burnished orange, smooth oak, old leather, and malted milk. The mouthfeel is weighty enough to sustain the heavyweight flavors. Long finish of dark rum, cocoa, and spiced chocolate. Just add your own favorite leather armchair. Value pick."
"Berry Bros & Rudd The Classic Range Islay Blended Malt, 44.2%",Blended Malt Scotch Whisky,88,42,$,
"Samaroli by Samaroli 2017 Edition, 43%",Blended Malt Scotch Whisky,88,176,$,"Big Peat looks incredibly pale in the glass this year, but his message is undiminished. Antiseptic, pine-scented floor cleaner, and an enveloping cloud of peat smoke with underlying peach and faint dabs of lemon. Sugary sweet, with lemon lozenges, light vanilla, caramel, and dark toffee, while a bowling, somersaulting smoky element gleefully turns cartwheels in the mouth. Hot, dry finish, like gargling with hot coals. Merry Peatmas everybody."
"Bowmore 27 year old Port Cask, 48.3%",Single Malt Scotch,88,520,$,
"Deanston 2008 Brandy Cask Finish, 56.4%",Single Malt Scotch,88,85,$,"Aromas of oloroso sherry, strawberry, almond paste, clove, licorice Allsorts, black treacle, and smoke from burning haystacks. Honeyed palate with citrus elements, light lemon, green melon, pear, redcurrant, and pineapple, brightened by some well-rounded spices and root ginger. It glides into a mouthful of chocolate-coated digestive biscuits with a little smoke, then a finish of citrus oils, fruit skins, and active spices. Brilliant and satisfying."
"Tomatin 15 year old Moscatel Limited Edition, 46%",Single Malt Scotch,88,95,$,"A single cask, cask strength whisky finished in a first-fill bourbon barrel. The initial nose is slightly earthy, with walnuts, Juicy Fruit gum, vanilla, and ripe peach notes in time. Full, sweet fruit notes on the palate, peaches in syrup, overripe pineapple, with milk chocolate, fudge, and nutmeg. The finish is medium in length and perennially spicy, with aniseed notes. (Cask no. 170)"
"Highland Park Valknut, 46.8%",Single Malt Scotch,88,80,$,"Aged in bourbon wood, then finished in an oloroso sherry cask. The result is a whisky with a nutty nose, plus sultanas, figs, vanilla, and background sherry, becoming more floral in time. Full-bodied on the palate, with sweet sherry notes, ginger, and cinnamon, and developing raisin and prune notes. The finish is long, with spicy coffee and blackberries. (Cask no. 900160)"
"John Walker & Sons XR 21 year old, 40%",Blended Scotch Whisky,88,132/700ml.,$,"This was matured in second-fill sherry casks and then spent 3 years in first-fill Pedro Ximénez butts. The nose features fruit and nutty milk chocolate, fudge, sultanas, and mixed candied peel. Lush, sweet sherry on the palate, with a carryover of fudge and sultanas from the nose. Long in the nutty, spicy finish, which offers nutmeg and peppery oak. (5,000 bottles)"
"Johnnie Walker Gold Label Reserve, 40%",Blended Scotch Whisky,88,79,$,"Distilled in 2012, this was aged in casks sourced from the Douro Valley in Portugal. Quite reticent on the early nose, with developing strawberries, vanilla custard, new oak, and subtle smoke. The palate offers smoky red wine notes, with ashy peat, spices, and tingling black pepper becoming more apparent. Sweet cherry fruitiness lingers in the relatively long finish with prickly spices."
"Compass Box The Story of the Spaniard, 43%",Blended Malt Scotch Whisky,88,65,$,"The nose opens with brine, fresh pine, sage, and sweet antiseptic. Peat, ginger, black pepper, lime, and lemon notes develop in time. Citrus fruits, caramel, and a peat-fueled barbecue on the palate, with background dark berries. The finish is medium in length, warming, and spicy, with plain chocolate and drying, crumbly peat. (Cask no. 13; 275 bottles)"
"Berry Bros & Rudd The Classic Range Sherry Cask Matured, 44.2%",Blended Malt Scotch Whisky,88,41,$,"A futuristic bottle design released for Ridley Scott’s replicant sequel set in 2049, hence the punchy bottling strength. Peat smoke, toffee caramels, fresh banana, and sliced red apple. Promising layers of fruit salad, grape, apple, citrus, and apricot are swept aside by an aggressive peppery attack, emerging to notes of bitter fruit, burnt rubber, and smoke. If this is a glimpse of the future, I’m stockpiling regular Black Label now. (39,000 bottles)"
"White Walker by Johnnie Walker, 41.7%",Blended Scotch Whisky,88,36,$,"Was the short finish in Château La Louvière casks from Bordeaux’s Pessac-Léognan appellation sufficient to impact this peaty whisky? A gorgeous color with a nose of sooty, charcoal intensity, hints of chocolate, vanilla pod, clove, and peppercorn. Flavors of cherry, rhubarb, orange peel, and plums, speckled with aniseed, pepper, clove, and licorice indicate cask influence. Suggestions of menthol and peppermint, before a smoky finish with licorice and bitter chocolate. (20,000 bottles)"
"GlenAllachie 18 year old, 46%",Single Malt Scotch,88,150,$,"Both bourbon and sherry casks were used for aging. Stewed fruits, butterscotch, and soft spices on the nose. Silky palate delivery, with honey, dark chocolate, light sherry, and cloves. Lingering finish, with citrus and allspice."
"GlenAllachie 25 year old, 48%",Single Malt Scotch,88,400,$,"Released exclusively for the U.S., this is the first bottling in an annual series celebrating what Macallan terms its “…unrivalled commitment to the mastery of wood and spirit.” Matured in oloroso sherry-seasoned American and European oak casks. Confident Christmas cake aromas, plus quite assertive oak. Honey, toffee, vanilla, nutmeg, ginger, and lively oak on the palate. Gingery wood notes in the medium-length finish."
"Talisker 8 year old, 59.4%",Single Malt Scotch,88,89,$,"Lemon and lime zest, stewed fruits drizzled in caramel, granola, butterscotch, and refined oak tones on the nose. The meatiness in Cragganmore’s new make spirit has long since mellowed in the cask. Light orange, vanilla, honey, and those nuggets of hard sherbet that spark up on the tongue. The second phase opens up toffee notes, wood spice, flapjacks, and ends with nougat and orange peel. (Batch 2; 130 bottles)"
"The Singleton of Glen Ord 14 year old, 57.6%",Single Malt Scotch,88,128,$,"Distilled in 2006 and aged 11 years in an oloroso hogshead (#101751). The nose offers butterscotch, sultanas, and developing caramel notes. Smooth and sweet on the palate, with banana, figs, malt, and a hint of sherry in the background. Medium to long in the finish, with a suggestion of lemon and insistent fruity spices. (224 bottles)"
"Balnellan 12 year old Speyside Glenlivet, 40%",Single Malt Scotch,88,33,$,"This 2017 release spent 22 years in bourbon casks before a final 3 years in oloroso sherry Spanish oak butts. Bright fruits on the nose: orange, lemon, and lime, with vanilla, soft toffee, and plain chocolate. Supple and silky on the palate, with sweet orange notes, more vanilla, and cocoa powder. Cocoa, nutmeg, dry sherry, and wood spices in the lengthy finish. (450 bottles)"
"Macallan 12 year old Triple Cask, 40%",Single Malt Scotch,88,65,$,"Lighter in character than the 50 year old, batch 4 offers aromas of caramel, artisanal chocolate, red fruits, polished brogues, and a fluttering of Asian spices. It has plenty of personality, with molasses, chocolate treacle cake, date, fig, bramble, and black currant, though those spices return, and then it gets rather woody. A sprightly older blend, but beginning to show its age. (1,428 bottles)"
"Duncan Taylor Octave The Huntly 1996 21 year old, 52.7%",Blended Malt Scotch Whisky,88,170,$,"Gentle peat smoke mixed with smoldering wood shavings, fresh maritime characteristics, and milk chocolate, but leave the glass a while, and when you return, the smoky intensity gets really pumped. Light melon flavors become engulfed by smoke, then the pepper, ginger, and chili kick in, leaving the soft fruit and vanilla cowering lamb-like in a corner. If you have peat smoke running in your veins, you will love this."
"Big Peat Christmas Edition 2018, 53.9%",Blended Malt Scotch Whisky,88,75,$,"Part of Glenmorangie’s Legends collection, this was finished in casks that previously held sweet French white wines. Sweet red berries on the somewhat shy nose, with developing low-key honey and vanilla. Nicely textured, with a palate of honey, caramel, milk chocolate, shortbread, and lots of lively spice. Lengthy in the finish, with more caramel and milk chocolate, plus strawberry and ginger. (Travel Retail exclusive) £85"
"The Famous Grouse Toasted Cask, 40%",Blended Scotch Whisky,88,40,$,"Glenglassaugh has launched its first cask-finished whiskies, matured for an unspecified period in first- fill American oak casks before finishing for up to 2 years in secondary casks. This is the pick of the quartet of expressions, with a nose of fragrant, fruity smoke, hand-rolling tobacco, and new leather. Red berry fruits and woodsmoke feature on the palate, while the finish offers gentle peat smoke, cinnamon, and black pepper. £60"
"Berry Bros & Rudd The Classic Range Speyside Blended Malt, 44.2%",Blended Malt Scotch Whisky,88,42,$,"This ever-popular expression of Balvenie is matured for roughly 12 years in ex-bourbon casks and finished for 9 months in Spanish oak oloroso sherry casks. Floral on the nose, with honey, oak, and almonds. Spicy sherry, nutmeg, and dried fruit on the silky palate. Quite long in the finish, with a hint of orange, plus drying spices. Elegant, yet robust."
"Dalwhinnie Winter’s Frost, 43%",Single Malt Scotch,88,40,$,"This was aged in a mixture of bourbon and oloroso sherry casks, followed by a final spell of marrying in wooden tuns. Dried fruits, dark chocolate, figs, and cinnamon on the nose. The palate yields rich caramel and toffee-apple notes, plus ginger, cloves, and medium sherry. More dried fruits, cookies, and a sprinkling of allspice in the slightly smoky, medium to long finish."
"Balvenie 2009 vintage, 64.6%",Single Malt Scotch,88,661,$,"A mix of American and Spanish oak casks was used to mature this addition to the core range. A big blast of orchard and tropical fruits characterizes the early nose, along with honey, vanilla, and toffee. The palate also majors in fruit, this time principally oranges, plus caramel, cinnamon, milk chocolate, and lots of vanilla. The finish is quite short, with banana and ginger."
"Glenmorangie Nectar d’Or 12 year old, 46%",Single Malt Scotch,88,77,$,"This addition to the Port Askaig range is presented with natural color, without chill filtration, and matured in refill American oak casks. The nose presents light peat, ozone, and faint medicinal notes, becoming saltier and spicier with time. Bracing. Woodsmoke, kippers, grapefruit, and lime on the palate. The finish is sweet, with receding smoke."
"Aultmore 21 year old, 46%",Single Malt Scotch,88,250,$,"This limited-edition bottling was matured in a mix of bourbon and sherry casks. It is non-chill filtered and includes no caramel coloring. Vanilla, milk chocolate, dried fruits, and green apples on the nose. Relatively light-bodied, with orange juice, honey, wood spice, and a hint of brine on the soft, oaky palate. The finish is medium in length, gently fruity, with mixed nuts and salted caramel."
"Glenrothes 18 year old, 43%",Single Malt Scotch,88,130,$,"Jura has introduced a new house style of ‘sweetness and smoke,’ and this spent 18 years in bourbon barrels, with a finish in red wine casks. Malt, peach blossom, raspberries, vanilla, and dark chocolate on the nose. The palate offers red berries, more chocolate, cloves, and peat. Dry red wine notes in the finish, with fruity spices and black pepper."
"Tullibardine The Murray Marsala Cask Finish, 46%",Single Malt Scotch,88,80,$,"Well-balanced offering of sweet citrus, grapefruit peel, and beach bonfire smoke. Cream, lemon, and lime zest are overcome by smoke as the chili spice and pepper go off like a rocket. More disciplined, it settles down to sweet orange, lemon bonbon, cocoa, and driftwood smoke. An incredibly pale whisky, it’s punchy, but not overly complex, although it does include some fun stickers to let you customize your own bottle. (3,000 bottles)"
"Aerstone Sea Cask 10 year old, 40%",Single Malt Scotch,88,28,$,"One of four new affordable blended malts in the range, this delivers a direct line of clean, pure smoke; richly peaty, with shrimp shells, salty sea spray, fresh citrus peel, vanilla, and the aroma of fine cigar smoke. There’s an elegant purity to the nose. The palate takes a different course, with tangy, sharp citrus, bitter orange, herbal notes, lemon sherbet, shortbread, and jagged spices. Quite a stallion. £32"
"Glen Moray Cabernet Sauvignon Cask Finish, 40%",Single Malt Scotch,88,30,$,"A smart little 8 year old blended malt with notes of light vanilla, hay bales, fresh flowers, and orange-flavored candies. Light, clean, and easy to like. The palate majors in orange flavors, first orange juice, with crunchy biscuit, gingerbread, and fizzy sherbet in the middle. It’s packed with flavor and depth, and ends with orange lollipops. The tanginess ricochets around the mouth, leaving a deep glow of citrus."
"Dalmore 12 year old, 40%",Single Malt Scotch,88,65,$,"Port Cask is the third and final release in Bowmore’s Vintner’s Trilogy. It was matured for 13 years in bourbon barrels, then 14 years in port pipes. Woodsmoke and blackcurrant on the mildly medicinal nose, with developing sea salt and vanilla fudge. Smoky dried fruit on the palate, with a hint of brine. Old oak, antiseptic, and black pepper in the finish."
"Dalmore 15 year old, 40%",Single Malt Scotch,88,130,$,"This 9 year old Deanston spent almost 8 years in bourbon barrels before being transferred into French brandy butts for a final 2 years of aging. Cognac notes on the early nose, rich and spicy, with toffee, nutmeg, instant coffee, and rhubarb crumble. The palate is sweet, smooth, and buttery, with brandy, honey, and polished oak. The finish dries with licorice and chili warmth, then, finally, tangy dark berries. (3,432 bottles)"
"Deanston 12 year old, 46.3%",Single Malt Scotch,88,60,$,"Distilled in 2003, this expression spent a decade maturing in bourbon barrels before a further 5 years in first-fill Portuguese moscatel wine barriques. It was bottled without chill-filtration. The nose offers fragrant spices and red apples sprinkled lightly with white pepper. Very fruity on the supple palate, with strawberries-and-cream notes, background citrus, almonds, and slightly musty oak. Black pepper and figs in the medium-length finish."
"Auchentoshan Three Wood, 48%",Single Malt Scotch,88,70,$,"This follows Valkyrie in the Viking Legend series. Distilled using a proportion of Tartan barley grown on Orkney, which is said to produce additional smokiness. Matured mainly in sherry-seasoned American oak casks. Smoldering wood embers on the early nose, with heather in bloom and apple blossom. Vanilla, cloves, and smoky citrus fruit on the palate. The finish yields peat, aniseed, and nutmeg."
"Macallan Estate, 43%",Single Malt Scotch,88,250,$,"Sliced apple, fig rolls, hot chocolate powder, baked orange, seasoned oak, and a wisp of light smoke like a red glow from burning newspaper. It has a contented, unperturbed, insouciant character. Cinnamon toffee yields to sweeter notes, with vanilla, dried fruits, and baked peach, and then goes long on nutmeg under drifting smoke. The woodiest of Walkers, this concludes with cinnamon, nutmeg, clove, allspice, and a catch of smoke. (Travel Retail exclusive)"
"Tamdhu 12 year old, 43%",Single Malt Scotch,88,65,$,"Beeswax candles, wafers in vanilla ice cream, dried apricots, a strand of garden bonfire smoke, dried-out wedges of honeydew melon, and fruit shortcake cookies. The palate revels in barley sugar, active spices, lime, orange, and grapefruit peel, and it’s beautifully weighted with fudge and vanilla sponge cake. A mouth-clinging finish saturates the taste buds with sweet, honeyed fruits."
"Oban 14 year old, 43%",Single Malt Scotch,88,75,$,"Nobody was expecting this Spanish proposition, as the inquisitive John Glaser adds the first new permanent addition to the range in many years. Its chief weapons are Spanish red wine, spiced orange, cranberry, redcurrant, and ristras of dried red chili pods hanging in doorways. The ruthlessly efficient palate has red wine notes, spicy chili heat, and an almost fanatical devotion to the pepper. Pour a glass and fetch the cushions."
"Port Askaig 10th Anniversary, 55.85%",Single Malt Scotch,88,100,$,"This is rich in cask characters, with baked orange, pronounced nutmeg notes, mace, peppercorn, and petrichor. The opening flavors of dark orange and syrupy caramel swerve headlong into pepper, root ginger, allspice, and nippy clove. Despite appearances, this is not awash with sherry-dominated fruitiness, but the finish is long, with spice-led dried fruits. £32"
"Hunter Laing & Co. Scarabus, 46%",Single Malt Scotch,88,39,$,"Chillingly good bottle for winter, this Game of Thrones tie-in sees a rakish striding man donning body armor, gripping an ice blade, and nodding a frosty greeting through glowing blue eyes. Room temperature aromas speak of toffee, lime zest, menthol, waxy foliage, and pronounced grain notes. Straight from the freezer, there are cornflakes, beeswax, caramel, vanilla, sharp citrus, sugared apple, and a hint of nutmeg. Deliciously tasty dram for your night’s watch. Best Value"
"Highland Park 16 year old Twisted Tattoo, 46.7%",Single Malt Scotch,88,105,$,"Aged in American oak, Pedro Ximénez, and oloroso casks. The nose is nutty, with treacle, and developing geranium aromas. Prunes and dates, plus almonds on the buttery palate. Drying in the finish, with nutmeg and wood spice. (1,200 bottles for U.S.)"
"Springbank 10 year old, 46%",Single Malt Scotch,88,72,$,"The oldest bottling in the range, this was aged in a combination of Pedro Ximénez, oloroso, and American oak casks. Farmyard aromas, with oak and dark chocolate. Very smooth and supple on the palate, with orange marmalade, raisins, and old oak. The finish is quite short, with dried fruit and milky coffee. (160 bottles for U.S.)"
"Cutty Sark, 40%",Blended Scotch Whisky,88,20,$,"Matured in first-fill bourbon barrels, this youthful Talisker appears at one of the original bottling strengths used by one-time owners John Walker & Sons Ltd. It is the first Special Releases Talisker since 2013. Peppery tweed, ozone, coconut oil, and subtle smoke on the nose. The palate features woodsmoke and chili, toffee, and green berries. White pepper, sea salt, and a savory note in the finish. £70"
"Balvenie 14 year old The Week of Peat, 48.3%",Single Malt Scotch,88,100,$,"This was aged in refill American oak barrels and bodega European oak butts followed by what Diageo describes as a “unique maturation and marrying process, involving five cask types.” The nose is soft and sweet, presenting malt, ginger, milk chocolate, and vanilla. Orchard fruits surface in time. Supple in the mouth, with toffee, ripe peaches, gingerbread, and old leather. Dark berries, char, and black pepper in the finish. £100"
"Duncan Taylor 10 year old Dimensions Cask Strength 2008 (distilled at Aultmore), 53%",Single Malt Scotch,88,70,$,"Enjoy fresh aromas in multiple ways, like fruit (melon, pear, blueberry) and a sea breeze (oyster shell, salty). Full flavors of tangerine, Bosc pear, salted pistachio, white pepper, dried ginger, and mint are diminished only by the light body. The finish is particularly satisfying, but a little more heft would make it shine. (Total Wine & More)"
"Duncan Taylor 11 year old Dimensions Cask Strength 2008 (distilled at Miltonduff), 53%",Single Malt Scotch,88,60,$,
"GlenAllachie 15 year old, 46%",Single Malt Scotch,88,110,$,"Triple Cask replaced Macallan’s Fine Oak range in 2018, and was matured in a combination of European and American sherry-seasoned oak and American oak bourbon barrels. The entry level 12 year old offers a relatively light, zesty nose, with citrus fruit, vanilla, and ginger, while the palate yields more citrus fruit and vanilla, honey, sweet oak, and dark chocolate. Cantaloupe and wood spice in the finish."
"Johnnie Walker Black Label Lowlands Origin, 42%",Blended Scotch Whisky,88,46,$,"Lush, soft summer fruits bathe the nose with green melon, kiwi, green apple, tart gooseberry, ladyfingers, and a not unpleasant plastic note, like toy building blocks or the glove compartment of a new car. Baked orange delivers sharp tart flavors, with allspice, barley sugar, and hard candies, later developing apple notes and settling into a creamy, fruity finish."
"Royal Salute 21 year old The Malts Blend, 40%",Blended Malt Scotch Whisky,88,135,$,"Windswept and coastal: rock pools, the chalky sweetness of Edinburgh rock candy, and aromas of smoked fish on the quayside. The masochism of bonfire smoke and peat reek is utterly invigorating and restorative. Lemon creaminess, with an eruption of spice and citrus, the irascible spices pushing out in all directions. This is a big, cask strength bruiser, but Peat’s choleric temper can be readily soothed with a drop of water. (1,400 bottles for the U.S.)"
"Octomore 10.1, 59.8%",Single Malt Scotch,88,190,$,"For starters, this new addition to the lineup has a delicious nose of baked Alaska, cotton candy, vanilla, and creamy fudge, along with well-developed notes of toasted oak from the virgin casks. A smooth blend of caramel, banana, peach, green fruits, and hazelnut. It grows increasingly tangy in the mouth, before softening to leave lively peppery spices and toffee to conclude this affordable everyday sipper. (Global Travel Retail)"
"Octomore 10.4, 63.5%",Single Malt Scotch,88,235,$,"This great value whisky encapsulates Speyside’s appealing regional character with notes of green apple, airy florals, vanilla fudge, honey, pecan nut, toasted croissant, marzipan, and light dry spices. With its lovely structure and weight, this unwraps apple, golden syrup, tart citrus, banana, and caramel. A smart aperitif choice for a carefree day, this delivers a sweet, light, delicious dram with an active spicy finish. £32"
